Symbol,Number,Density,Molar volume,BCCefflatcnt,NfUnfilled,NpUnfilled,BCCenergy_pa,Thermal conductivity,IsMetal,MendeleevNumber,BCCvolume_pa,IsFBlock,BCCfermi,Velocity of sound,IsNonmetal,CovalentRadius,GSefflatcnt,GSvolume_pa,BCCvolume_padiff,SpaceGroupNumber,GSestFCClatcnt,NdUnfilled,GSmagmom,BoilingT,Row,GSestBCClatcnt,Electronegativity,BulkModulus,MeltingT,NsValence,Van der waals radius,BCCbandgap,NUnfilled,HeatFusion,IsMetalloid,HeatCapacityMolar,Column,NdValence,BCCenergydiff,Liquid range,IsDBlock,NfValence,NpValence,AtomicWeight,GSenergy_pa,Polarizability,FirstIonizationEnergy,NsUnfilled,phi,BCCmagmom,GSbandgap,ICSDVolume,AtomicVolume,IsAlkali,NValance,HeatCapacityMass
H,1,0.0899,11.42,3.589268453,0,0,-2.13581094,0.1805,0,92,2.89,0,3.21974562,1270,1,31,4.730241098,6.615,-3.725,194,2.979865165,0,0,20.13,1,2.365120549,2.2,0,14.01,1,1.2,0,1,0.06,0,28.836,1,0,1.195479825,6.27,0,0,0,1.00794,-3.331290765,0.666793,13.598443,1,5.2,0,7.853,32.02,18618.05194,0,1,14.304
Li,3,535,13.02,6.416364372,0,0,-1.86553478,85,1,1,16.51,0,0.22720863,6000,0,128,6.427141677,16.59333333,-8.33E-02,229,4.048845545,0,0,1615,2,3.213570838,0.98,11,453.69,1,1.82,0,1,3,0,24.86,1,0,4.35E-03,1161.31,0,0,0,6.941,-1.86988691,24.335,5.391719,1,2.85,0,0,21.63,21.54405808,1,1,3.582
Be,4,1848,4.85,4.99733191,0,0,-3.65527191,190,1,67,7.8,0,8.09610906,13000,0,96,5.016478962,7.89,-9.00E-02,194,3.160183721,0,0,2743,2,2.508239481,1.57,130,1560,2,1.53,0,0,7.895,0,16.443,2,0,9.98E-02,1182,0,0,0,9.012182,-3.755038695,5.6,9.3227,0,5.05,0,0,8.11,8.098176455,1,2,1.825
B,5,2460,4.39,4.606669594,0,5,-4.96643126,27,0,72,6.11,0,10.25960696,16200,0,84,4.859558857,7.1725,-1.0625,166,3.061330249,0,0,4273,2,2.429779429,2.04,320,2348,2,1.92,0,5,50.2,1,11.087,13,0,1.711266894,1851,0,0,1,10.811,-6.677698154,3.03,8.29802,0,5.3,0,1.524,7.75,7.297767265,0,3,1.026
C,6,2260,5.29,4.726663002,0,4,-4.87176209,140,0,77,6.6,0,8.67608379,18350,1,76,4.485384682,5.64,0.96,194,2.825615289,0,0,4300,2,2.242692341,2.55,33,3823,2,1.7,0,4,117.4,0,8.517,14,0,4.337951565,500,0,0,2,12.0107,-9.209713655,1.67,11.2603,0,6.24,0,4.496,5.67,8.825089715,0,4,0.709
N,7,1.251,13.54,4.815689402,0,3,-4.05718461,0.02583,0,82,6.98,0,6.27497729,333.6,1,71,6.182364034,14.76875,-7.78875,194,3.894645292,0,0,77.21,2,3.091182017,3.04,0,63.05,2,1.55,0,3,0.355,0,29.124,15,0,4.1542566,14.31,0,0,3,14.0067,-8.21144121,1.1,14.5341,0,6.86,0,6.437,22.68,18592.49897,0,5,1.04
O,8,1.429,17.36,4.894871769,0,2,-2.45975161,0.02658,0,87,7.33,0,3.0735335,317.5,1,66,5.261787573,9.105,-1.775,12,3.314718462,0,0,90.1,2,2.630893787,3.44,0,54.8,2,1.52,0,2,0.22,0,29.378,16,0,2.297040295,35.4,0,0,4,15.9994,-4.756791905,0.802,13.61805,0,0,0,0,17.36,18592.19717,0,6,0.918
F,9,1.696,11.2,5.128407411,0,1,-0.82794713,0.0277,0,93,8.43,0,-1.58696247,0,1,57,5.375379458,9.7075,-1.2775,15,3.386276865,0,0,84.88,2,2.687689729,3.98,0,53.5,2,1.47,0,1,0.255,0,31.304,17,0,0.870113828,31.5,0,0,5,18.9984032,-1.698060958,0.557,17.4228,0,0,0,1.97,16.42,18601.60857,0,7,0.824
Na,11,968,23.78,7.760395346,0,0,-1.2544847,140,1,2,29.21,0,1.31524918,3200,0,166,7.763346179,29.24333333,-3.33E-02,229,4.890601634,0,0,1156,3,3.88167309,0.93,6.3,370.87,1,2.27,0,1,2.6,0,28.23,1,0,5.76E-03,785.13,0,0,0,22.98976928,-1.260241383,24.11,5.139076,1,2.7,0,0,39.76,39.43832888,1,1,1.228
Mg,12,1738,14,7.153611229,0,0,-1.51367083,160,1,68,22.88,0,4.0864554,4602,0,141,7.15465327,22.89,-1.00E-02,194,4.50714913,0,0,1363,3,3.577326635,1.31,45,923,2,1.73,0,0,8.48,0,24.869,2,0,2.86E-02,440,0,0,0,24.305,-1.54227231,10.76666667,7.646235,0,3.45,0,0,23.48,23.2222931,1,2,1.023
Al,13,2700,10,6.46904413,0,5,-3.65018713,235,1,73,16.92,0,7.76407342,5100,0,121,6.412475665,16.48,0.44,225,4.039606536,0,0,2792,3,3.206237833,1.61,76,933.47,2,1.84,0,5,10.71,0,24.2,13,0,9.52E-02,1858.53,0,0,1,26.9815386,-3.74542312,6.8,5.985768,0,4.2,0,0,16.61,16.59442452,0,3,0.897
Si,14,2330,12.06,6.160132678,0,4,-4.90201039,150,0,78,14.61,0,9.91441468,2200,0,111,6.889699677,20.44,-5.83,227,4.340238825,0,0,3173,3,3.444849839,1.9,100,1687,2,2.1,0,4,50.21,1,19.99,14,0,0.522907615,1486,0,0,2,28.0855,-5.424918005,5.53,8.15168,0,4.7,0,0.773,20.02,20.01637772,0,4,0.712
P,15,1823,17.02,6.096226278,0,3,-4.6830362,0.236,0,83,14.16,0,10.06787517,0,1,107,7.121181273,22.5702381,-8.410238095,2,4.486063093,0,0,553.5,3,3.560590636,2.19,11,317.3,2,1.8,0,3,18.54,0,23.824,15,0,0.717472843,232.7,0,0,3,30.973762,-5.400509043,3.63,10.48669,0,5.55,0,1.625,18.99,28.21412182,0,5,0.769
S,16,1960,15.53,6.29893322,0,2,-3.00278915,0.205,0,88,15.62,0,7.76558603,0,1,105,7.444569109,25.786875,-10.166875,70,4.689784664,0,0,717.72,3,3.722284555,2.58,7.7,388.36,2,1.8,0,2,1.721,0,22.7,16,0,1.094427569,329.51,0,0,4,32.065,-4.097216719,2.9,10.36001,0,0,0,2.202,25.76,27.16654579,0,6,0.708
Cl,17,3.214,17.39,6.900917052,0,1,-0.9545457,0.0089,0,94,20.54,0,2.21271389,206,1,102,7.318362479,24.4975,-3.9575,64,4.610279469,0,0,238.96,3,3.65918124,3.16,1.1,171.6,2,1.75,0,1,3.2,0,33.949,17,0,0.829888055,67.51,0,0,5,35.453,-1.784433755,2.18,12.96763,0,0,0,2.493,29.05,18317.50704,0,7,0.479
